CustomerID	TotalSpend	Frequency	Recency
12346	0.0	2	5099
12347	4299.8	181	4776
12348	1797.2	31	4849
12349	1757.5	73	4792
12350	334.4	17	5084
12352	1545.4	95	4810
12353	89.0	4	4978
12354	1079.4	58	5006
12355	459.4	13	4988
12356	2811.4	59	4796
12357	6101.1	126	4807
12358	1168.1	19	4775
12359	6228.7	252	4781
12360	2657.0	128	4826
12361	189.9	10	5061
12362	5154.6	274	4777
12363	552.0	23	4883
12364	1308.1	84	4781
12365	320.7	23	5065
12367	168.9	11	4778
12370	3412.2	163	4825
12371	1888.0	63	4818
12372	1298.0	52	4845
12373	364.6	14	5085
12374	742.9	33	4799
12375	455.4	18	4776
12377	1623.1	76	5089
12378	3957.6	218	4903
12379	850.3	41	4855
12380	2720.6	105	4795
12381	1782.5	89	4778
12383	1760.9	98	4958
12384	566.2	30	4802
12386	401.9	10	5111
12388	2780.7	100	4789
12390	549.8	32	4853
12391	456.2	99	4795
12393	1572.4	63	4846
12394	1272.5	27	4837
12395	2998.3	159	4789
12397	2409.9	126	4809
12398	1635.7	85	4819
12399	1108.6	59	4893
12401	84.3	5	5077
12402	225.6	11	5097
12403	409.7	6	4823
12405	1710.4	54	4922
12406	3280.8	108	4796
12407	1708.1	77	4823
12408	2832.4	112	4806
12409	11056.9	114	4852
12410	681.1	28	5075
12412	1217.5	60	4848
12413	694.1	40	4840
12414	562.4	18	4991
12415	121993.6	773	4798
12417	3578.8	198	4777
12418	668.6	34	4886
12420	600.4	29	4837
12421	806.3	46	4789
12422	803.6	39	4869
12423	1849.1	126	4774
12424	1761.0	30	4936
12425	777.2	36	4852
12426	582.7	30	4968
12427	708.4	35	4785
12428	7814.7	294	4799
12429	3656.8	94	4783
12430	256.4	11	4817
12431	6411.3	239	4809
12432	5059.3	108	4816
12433	13161.8	416	4774
12434	765.2	54	4858
12435	7829.9	36	4853
12436	509.0	16	4873
12437	4896.7	201	4775
12438	2906.9	98	4788
12441	173.6	11	5140
12442	172.1	12	4777
12444	4985.7	176	4795
12445	133.4	4	4796
12446	1002.3	58	4831
12447	476.5	26	5017
12448	449.5	22	4818
12449	4007.9	188	4796
12450	197.9	8	4930
12451	8915.0	353	4784
12452	428.6	23	4790
12453	707.1	43	4908
12454	-0.0	30	4827
12455	2466.9	90	4847
12456	3153.9	129	4818
12457	1912.7	67	4832
12458	947.4	38	4845
12461	826.9	35	4868
12462	1124.0	72	4776
12463	1303.6	88	4820
12464	1212.0	29	4784
12465	728.9	50	4781
12468	724.0	40	4917
12471	18740.9	531	4776
12472	6213.3	387	4804
12473	2843.7	178	4803
12474	7114.2	456	4791
12475	723.4	36	4827
12476	6531.5	262	4775
12477	12712.0	306	4796
12478	681.0	36	4777
12479	457.5	34	4777
12480	3281.6	154	4802
12481	5590.9	218	4796
12483	2327.1	81	4791
12484	4446.0	342	4806
12488	1298.7	55	4783
12489	334.9	15	5110
12490	5417.9	245	4779
12491	460.4	26	4812
12492	263.2	20	4837
12493	416.8	23	4939
12494	1126.8	83	4783
12497	1043.1	14	4855
12498	403.7	23	4795
12500	4206.3	65	4797
12501	2074.2	157	5089
12502	3691.3	145	4869
12503	-1126.0	1	5111
12504	114.0	15	4792
12505	-4.5	1	5075
12506	73.5	23	5006
12507	1258.1	23	4908
12508	398.3	69	4800
12509	176.5	7	5058
12510	982.6	33	4916
12512	138.0	34	4840
12513	586.8	36	4858
12514	1017.7	51	5041
12515	383.7	16	5127
12516	1312.1	26	4851
12517	2458.1	285	4802
12518	2051.9	123	4774
12519	340.8	18	4837
12520	2499.0	147	4853
12521	599.7	38	4916
12522	192.7	12	4813
12523	1745.6	110	4775
12524	4485.7	144	4783
12526	1316.7	71	4774
12527	348.7	18	4855
12528	1922.3	95	4783
12530	1618.6	67	4833
12531	125.2	17	4788
12532	349.8	16	4804
12534	1089.2	63	4904
12535	716.4	34	4865
12536	4106.8	273	4781
12538	364.0	21	4803
12539	3852.5	274	4796
12540	13273.3	477	4793
12541	981.2	52	4803
12544	355.7	20	4803
12545	1000.4	50	4849
12546	1141.5	70	4820
12547	207.8	8	4971
12548	95.2	5	4940
12550	964.8	57	4853
12551	168.0	10	5131
12552	418.0	19	4812
12553	3613.1	192	4782
12556	594.3	119	4824
12557	11991.0	33	4790
12558	0.0	22	4775
12559	536.2	22	5084
12560	2101.4	111	4779
12561	238.8	16	5076
12562	3781.7	168	4782
12564	456.9	21	5035
12565	131.2	10	5055
12566	346.7	20	4846
12567	9105.0	462	4796
12569	4025.4	189	4776
12571	519.6	34	4813
12572	1004.7	62	4782
12573	155.5	27	5001
12574	218.5	11	5089
12576	1287.2	88	4809
12577	594.1	146	4809
12578	2753.4	120	4795
12579	410.7	31	4847
12580	415.7	24	5020
12581	197.7	15	4813
12582	511.4	22	5012
12583	7187.3	251	4776
12584	1834.6	123	4777
12585	1982.8	97	5008
12586	179.9	12	4791
12587	144.0	4	4781
12588	214.9	10	4813
12589	636.7	34	4802
12590	9861.4	70	4964
12591	452.8	26	5091
12592	437.6	18	4866
12593	418.1	21	4882
12594	3320.2	119	4811
12596	618.3	27	4825
12597	3683.1	214	4793
12598	3002.7	133	4783
12599	1032.6	62	4803
12600	2581.0	65	4802
12601	569.6	29	4963
12602	153.1	12	4832
12603	739.2	3	4795
12604	254.2	16	4853
12605	-7.5	3	5139
12607	-0.0	202	4832
12609	1103.5	59	4852
12610	2058.0	111	4796
12611	1193.3	65	4826
12612	643.6	21	4831
12613	3213.9	162	4805
12614	315.6	20	5051
12615	2291.2	105	4776
12616	657.3	36	4859
12617	355.5	42	4803
12618	177.3	11	4795
12619	3209.8	94	4790
12620	1296.2	90	4788
12621	13612.1	474	4775
12622	180.1	11	5006
12623	305.1	18	5050
12624	641.1	38	4880
12625	2609.3	90	4985
12626	6388.3	307	4797
12627	4478.5	230	4784
12628	769.6	43	4778
12630	1233.4	62	4783
12631	640.5	31	4831
12633	2131.3	102	4832
12635	1689.2	101	4863
12637	5933.4	392	4841
12638	662.3	38	4807
12639	486.1	22	5012
12640	1174.6	53	4797
12641	185.9	10	4889
12642	1013.3	47	4799
12643	3344.6	24	4902
12644	477.9	31	4903
12645	1755.4	74	4807
12646	1347.0	45	4778
12647	3669.9	128	4796
12648	318.0	21	4928
12649	603.7	33	4881
12650	314.4	20	4777
12651	114.0	9	5108
12652	896.8	50	5096
12653	2189.5	42	4922
12654	602.0	38	4784
12656	3982.7	130	4791
12657	1152.1	56	4785
12658	686.1	36	4792
12659	91.7	5	4803
12660	245.1	13	4785
12662	3817.1	232	4774
12664	4863.9	38	4782
12665	61.8	4	5098
12666	-227.4	2	5133
12667	620.1	33	4832
12668	3734.8	167	4781
12669	1607.7	102	4924
12670	2986.2	94	4784
12672	225.9	10	5103
12673	590.1	40	4779
12674	1919.3	91	4785
12676	1331.4	45	4798
12678	17588.3	167	4816
12679	1058.7	56	4826
12680	862.8	52	4774
12681	13667.5	644	4788
12682	12288.2	525	4777
12683	8216.0	361	4778
12684	2283.6	105	4781
12685	2863.1	157	4802
12686	89.1	7	5145
12688	4853.8	169	4887
12689	1247.6	72	4799
12690	389.0	16	4979
12691	1035.8	32	4802
12693	831.0	41	4894
12694	869.7	37	4844
12695	582.1	27	4781
12697	939.0	43	4795
12700	4868.0	270	4781
12701	797.7	53	4853
12702	219.0	12	4793
12703	274.7	22	4838
12704	2220.8	90	4781
12705	6809.2	347	4789
12707	603.4	33	5065
12708	2596.5	173	4803
12709	9192.1	256	4777
12710	1125.5	78	4870
12712	4241.6	142	4796
12713	843.5	37	4774
12714	4701.5	257	4783
12715	353.9	21	4880
12716	1053.5	69	4777
12717	981.0	56	4925
12718	233.2	18	4845
12719	608.1	42	4779
12720	5708.2	358	4776
12721	2623.9	163	4805
12722	904.3	57	4859
12723	725.1	69	4777
12724	1031.4	53	4779
12725	427.8	24	5145
12726	2609.1	124	4802
12727	3942.7	140	4784
12728	836.3	46	4845
12729	453.0	26	4887
12731	18788.4	276	4797
12732	236.3	12	4953
12733	384.0	22	5008
12734	102.0	3	5126
12735	779.6	43	5089
12736	234.0	4	5106
12738	155.3	11	5146
12739	1013.0	38	4852
12740	427.6	27	4837
12743	543.3	132	4908
12744	9054.7	228	4825
12747	4196.0	103	4776
12748	28734.4	4609	4774
12749	3822.9	229	4777
12750	275.9	15	4902
12752	4366.8	53	4855
12753	20304.5	223	4777
12754	2949.1	65	5009
12755	2203.2	6	5023
12756	112.1	4	4860
12757	4227.7	377	4789
12758	2781.5	96	4890
12759	1531.4	95	4826
12762	1873.3	68	4781
12763	489.0	17	4912
12764	1693.9	45	5090
12766	6969.8	309	4777
12769	1143.6	32	5012
12770	1351.4	12	4984
12772	872.7	54	4833
12775	1351.2	67	4791
12778	804.2	51	4793
12779	3868.7	159	4795
12781	707.7	30	4795
12782	2253.5	106	4778
12783	1603.9	86	4776
12784	574.4	59	4783
12785	305.7	15	4776
12787	463.7	20	4783
12789	91.9	4	4839
12790	324.9	21	4966
12791	192.6	2	5147
12792	400.5	25	5030
12793	545.5	24	5108
12794	860.4	45	4827
12795	430.5	14	4792
12797	194.2	17	5134
12798	6977.0	8	4784
12802	407.5	25	4957
12808	483.7	28	4810
12809	484.4	26	4942
12811	514.8	31	5034
12812	229.6	15	4818
12814	125.9	2	4875
12815	1063.5	47	4921
12816	572.2	29	4869
12817	166.0	4	5055
12818	1517.9	16	4952
12820	942.3	59	4777
12821	92.7	6	4988
12822	919.0	47	4844
12823	1759.5	5	4848
12824	392.1	24	4833
12826	1468.1	94	4776
12827	430.2	25	4779
12828	988.7	55	4776
12829	253.1	12	5096
12830	6748.4	39	4811
12831	215.1	9	5036
12832	383.0	27	4806
12833	417.4	24	4919
12834	312.4	18	5056
12836	2597.7	173	4833
12837	134.1	12	4947
12838	681.8	121	4807
12839	5573.5	314	4776
12840	2714.3	116	4917
12841	3862.9	438	4778
12842	1053.3	33	4844
12843	1678.2	100	4839
12844	326.0	52	4803
12845	349.1	26	5041
12847	848.1	88	4796
12849	1011.3	49	4805
12851	135.2	50	4870
12852	299.8	20	5064
12853	1881.7	84	4881
12854	1272.9	111	4852
12855	38.1	3	5146
12856	2152.6	316	4781
12857	1106.4	46	4984
12863	504.2	6	4826
12864	147.1	3	4912
12865	1548.1	96	4800
12866	559.1	26	5057
12867	3960.6	547	4800
12868	1602.0	106	4959
12870	-14.9	2	5140
12871	380.6	11	4858
12872	595.0	65	5100
12873	374.0	4	5056
12875	343.2	2	4917
12876	2218.0	85	4831
12877	1532.9	150	4777
12878	841.6	49	4792
12879	552.6	12	4818
12881	298.0	7	5049
12882	1463.0	13	4783
12883	703.5	42	4798
12884	309.1	7	4862
12885	1158.3	72	4837
12886	1351.1	86	4841
12888	313.8	7	4988
12890	380.5	82	4798
12891	331.0	3	4959
12893	188.1	34	4804
12895	347.3	24	4816
12897	216.5	4	4978
12901	16293.1	125	4782
12902	138.7	10	5038
12904	509.6	72	4792
12906	2919.8	63	4785
12908	246.0	4	4832
12909	2094.2	94	4813
12910	3075.0	75	4797
12912	1662.3	24	4776
12913	2443.1	49	4778
12915	363.7	22	4922
12916	2982.3	109	4912
12917	594.0	2	4902
12919	1301.4	52	4782
12920	164.2	28	4791
12921	16389.7	741	4777
12922	405.4	28	4935
12923	177.0	29	4838
12924	930.0	31	4862
12925	694.0	45	4778
12928	2062.7	84	4809
12929	105.1	9	4896
12930	409.9	27	4852
12931	33462.8	102	4795
12933	606.3	107	4798
12935	2156.5	130	4776
12936	1012.9	63	4791
12937	1504.3	120	4789
12938	114.1	9	4799
12939	11581.8	47	4838
12940	876.3	103	4820
12942	683.9	75	4905
12943	-3.8	1	5075
12944	604.5	30	4809
12945	463.0	23	5062
12947	1396.8	102	4917
12948	2053.7	118	4790
12949	4117.3	216	4804
12950	1843.0	23	4776
12951	1037.0	64	4782
12952	1382.8	80	4779
12953	329.9	17	4783
12955	4734.3	183	4775
12956	108.1	19	5080
12957	3932.2	241	4778
12962	266.4	16	4781
12963	1841.0	96	4782
12965	771.9	109	4863
12966	160.2	10	4783
12967	1194.8	33	4777
12968	136.0	5	4886
12970	447.6	150	4781
12971	10930.3	308	4777
12974	144.8	8	4971
12976	738.6	22	4985
12977	37.3	6	4930
12980	7092.1	24	4929
12981	372.2	20	4803
12982	327.3	30	5013
12984	97.5	4	4792
12985	1168.2	77	4774
12987	545.0	30	4847
12988	535.3	92	5066
12989	6854.5	68	4777
12990	409.5	13	4805
12991	503.8	31	4797
12993	414.8	27	4797
12994	902.2	73	4778
12995	200.7	5	4851
12997	1197.9	67	4796
12999	455.9	28	4970
13000	534.9	31	4880
13001	9696.8	336	4778
13002	101.1	6	5092
13003	149.1	6	4879
13004	5582.6	407	4785
13005	469.0	29	4947
13006	81.6	4	4830
13008	138.9	13	5097
13011	50.6	3	5146
13012	1299.0	106	4783
13013	4747.4	220	4775
13014	3365.4	124	4776
13015	3346.3	176	4827
13016	789.9	47	4847
13017	204.0	1	4781
13018	7258.1	456	4790
13021	2561.9	133	4778
13023	689.9	40	4838
13026	906.1	42	4775
13027	6912.0	26	4887
13028	636.3	46	4796
13029	1247.5	10	4804
13030	799.5	99	4785
13032	996.5	75	4812
13033	190.6	11	5131
13034	642.8	37	4828
13035	886.6	30	4831
13037	818.7	44	4912
13038	908.5	28	4854
13040	677.0	43	4782
13043	471.6	14	5027
13044	508.6	29	5065
13045	305.3	18	4873
13046	609.3	33	4804
13047	2985.5	190	4805
13048	1805.9	137	4788
13049	656.7	14	4838
13050	5684.6	422	4783
13052	348.2	18	4986
13055	1202.0	78	4838
13058	271.4	8	4798
13059	183.4	8	5023
13060	307.5	15	5027
13061	248.6	10	4846
13062	333.5	10	4965
13064	1104.6	67	4786
13065	205.9	14	5147
13066	430.9	49	4798
13067	115.5	15	4856
13068	344.0	2	4784
13069	3691.8	466	4774
13070	228.8	9	4966
13072	177.2	7	5040
13075	919.6	22	4903
13077	725.5	111	4775
13078	12427.7	376	4775
13079	220.1	6	4778
13080	48.7	5	4953
13081	27924.2	1055	4775
13082	3595.5	75	4900
13083	303.8	18	4778
13085	272.4	29	4931
13089	57021.3	1832	4776
13090	8689.4	161	4782
13091	304.2	23	4795
13092	459.8	26	4844
13093	7721.3	166	5041
13094	1708.9	30	4795
13095	74.4	6	4844
13097	5787.4	426	4806
13098	28576.8	599	4775
13099	207.4	1	4873
13101	101.2	8	5008
13102	6336.3	310	4775
13103	243.9	8	4813
13104	1098.5	20	4777
13106	59.5	2	4902
13107	1514.0	59	4818
13108	350.1	10	5146
13109	757.5	49	4776
13110	1446.3	144	4805
13113	10510.0	280	4774
13115	2205.6	132	4782
13116	480.2	30	4891
13117	984.9	76	4795
13118	1125.0	82	4793
13120	30.6	1	5012
13121	254.7	53	5043
13122	922.4	55	4868
13124	3837.1	233	4863
13126	1955.8	138	4778
13127	259.2	15	4851
13130	64.0	2	4868
13131	1039.3	46	4797
13132	77.3	3	5035
13133	109.8	7	5047
13134	1740.6	105	4846
13135	3096.0	1	4970
13136	2545.4	139	4824
13137	3604.4	704	4784
13138	962.4	63	4796
13139	5055.8	174	4790
13140	423.7	46	4882
13141	2385.8	136	4858
13142	307.1	23	4793
13144	111.0	3	5106
13145	614.8	7	4813
13146	183.9	16	4800
13147	712.8	4	4784
13148	3334.1	345	4803
13149	1676.1	86	4788
13151	1250.4	75	4977
13153	486.2	15	4779
13154	-611.9	1	4918
13155	966.7	84	4807
13157	1721.6	89	4823
13158	1178.2	77	4868
13159	1374.7	121	4782
13160	91.8	4	4796
13161	112.8	8	5087
13162	1538.2	77	4896
13165	1021.5	42	4820
13166	414.7	42	5056
13167	744.5	61	4792
13168	1275.0	131	4810
13169	712.9	13	4837
13170	102.0	29	4800
13171	426.8	48	4782
13173	353.7	43	4778
13174	2809.2	308	4790
13176	492.8	72	4820
13177	282.4	17	4838
13178	5725.5	265	4800
13182	121.2	11	4819
13183	3948.7	91	4781
13184	1623.7	181	4788
13185	71.4	1	5041
13186	1507.3	82	4813
13187	236.0	37	5111
13188	114.6	2	4785
13189	226.5	26	4792
13192	896.3	62	4869
13193	117.9	29	4835
13194	60.7	3	4909
13196	1777.6	106	4785
13198	3373.9	228	4784
13199	9804.0	120	4777
13200	870.1	46	4793
13203	864.9	56	4783
13207	250.3	8	4789
13208	1194.3	148	4832
13209	5796.9	326	4804
13210	353.5	22	4867
13211	1197.4	56	4784
13212	775.9	142	4783
13213	1513.4	91	4830
13216	333.7	5	5041
13217	133.6	7	4896
13218	62.6	5	4901
13220	819.3	21	4852
13221	847.4	66	5014
13223	163.2	5	4974
13224	2150.9	109	4834
13225	5514.2	33	4777
13226	108.2	16	5047
13227	257.7	9	4975
13228	358.0	2	4855
13229	161.0	10	4999
13230	2737.8	608	4778
13232	1332.9	205	4786
13233	535.8	40	4848
13235	91.3	58	4985
13236	727.3	39	4798
13238	680.8	32	4785
13239	282.8	20	5035
13240	663.7	67	4870
13242	270.4	13	4886
13243	600.1	58	4977
13244	121.7	27	4866
13245	430.5	16	4824
13246	1915.5	142	4792
13247	501.1	25	4791
13248	442.3	25	4898
13249	711.4	23	4866
13253	1030.4	36	4930
13255	390.7	14	4777
13256	0.0	1	4788
13258	698.6	38	4785
13259	292.3	87	4835
13260	557.6	8	4835
13261	944.1	9	5042
13262	200.3	11	5037
13263	7373.4	1641	4775
13265	2092.1	90	4827
13266	3717.7	202	4785
13267	4366.2	223	4776
13268	3136.1	441	4791
13269	5314.7	319	4775
13270	590.0	1	5140
13271	178.3	101	4811
13272	276.6	15	4805
13273	139.0	16	4887
13276	590.9	30	4837
13277	258.4	8	4789
13278	542.7	46	4814
13279	126.3	11	4838
13280	814.9	85	4896
13282	1047.8	40	4792
13283	93.7	7	4833
13284	196.2	14	5096
13285	2709.1	187	4797
13291	361.1	42	4929
13292	578.9	31	4812
13294	873.7	54	4963
13295	198.0	11	5133
13296	87.4	5	4911
13297	2089.9	59	4781
13298	360.0	2	4775
13299	142.5	5	5042
13300	365.3	22	4938
13301	618.1	81	4877
13302	63.8	1	4929
13304	300.4	21	5125
13305	2000.9	81	4778
13307	15.0	1	4894
13308	1367.6	57	4796
13309	1456.8	107	4781
13310	1083.6	77	4782
13311	598.6	26	4778
13313	1555.3	78	4796
13314	551.5	69	4775
13316	5810.5	87	4811
13317	2140.1	135	4838
13318	640.8	20	4775
13319	10653.8	499	4779
13320	1491.7	110	4844
13321	567.4	11	4846
13322	199.5	25	4791
13323	787.9	21	4777
13324	7072.8	77	4806
13325	675.3	12	4855
13327	3617.6	109	4812
13328	1308.5	17	5090
13329	740.4	19	4805
13330	1140.9	53	4866
13332	350.9	21	4788
13334	3498.0	265	4856
13336	795.1	51	4851
13338	431.8	24	4928
13339	840.3	53	4974
13340	10736.5	134	4819
13341	756.1	41	5034
13343	303.9	22	4946
13344	2543.7	119	4841
13345	377.6	22	5050
13347	341.4	8	4844
13348	233.8	14	4838
13349	247.3	16	4784
13350	910.7	43	4790
13351	373.9	16	4840
13352	389.3	27	4781
13354	743.5	51	4845
13355	674.7	32	4896
13356	768.2	42	4854
13357	592.4	87	5031
13358	439.0	29	5042
13359	431.3	24	4833
13362	3085.5	169	4777
13363	992.5	60	4791
13364	-0.0	20	4840
13365	2191.2	132	4782
13366	56.2	1	4824
13368	623.4	29	5030
13369	263.8	19	5128
13370	721.3	44	5140
13372	378.6	23	4863
13373	3312.3	158	4834
13375	772.9	38	4855
13376	1019.8	53	4873
13379	567.5	96	4800
13381	3439.6	162	4795
13382	223.0	15	5054
13384	4122.3	155	4804
13385	529.5	34	5103
13388	627.2	36	4895
13389	798.0	51	4785
13390	544.1	13	4848
13391	59.8	1	4977
13394	2302.6	163	4775
13395	307.7	21	4959
13396	1290.6	46	4795
13397	1539.2	39	4846
13398	457.3	26	4966
13402	603.8	35	4901
13403	75.0	3	4791
13404	252.5	11	4775
13405	572.5	27	4848
13408	27447.1	497	4775
13410	988.9	30	4782
13411	210.6	17	4881
13414	1390.5	24	4907
13416	712.5	19	4817
13417	640.8	28	4778
13418	5840.4	313	4785
13419	216.0	15	4837
13420	140.4	10	4908
13421	1849.0	105	4814
13422	2601.6	128	4825
13425	1624.2	78	4882
13426	3520.5	154	4774
13427	582.6	29	4793
13428	214.3	73	4784
13429	1006.8	67	4784
13430	646.4	53	4792
13431	1269.1	46	4841
13434	534.2	10	4848
13435	3794.5	103	4779
13436	196.9	12	4775
13437	3378.3	165	4788
13439	280.3	53	5029
13441	296.6	13	4865
13447	1086.9	61	4797
13448	3439.6	197	4790
13449	291.9	19	4797
13450	2043.7	71	4800
13451	2875.7	435	4800
13452	590.0	2	5033
13453	357.0	17	4939
13455	993.8	52	4798
13456	1732.8	64	4791
13458	9473.1	391	4781
13460	183.4	17	4803
13461	1445.0	27	4812
13462	143.3	10	4957
13464	674.7	41	4832
13466	298.0	18	4874
13467	1083.7	99	4784
13468	5538.9	298	4775
13470	165.0	10	4873
13471	2517.3	255	4775
13473	417.5	22	4834
13474	224.1	60	5010
13475	1431.8	86	4965
13476	1092.8	61	4952
13477	1441.5	81	4811
13479	291.0	16	4972
13481	1771.8	111	4819
13482	184.6	11	5006
13483	140.3	10	4839
13484	313.8	8	5015
13485	454.2	23	5007
13486	1122.4	69	4852
13487	575.4	34	4831
13488	8874.4	424	4791
13489	449.5	14	4879
13491	1176.5	82	4825
13492	1269.8	50	4910
13493	618.6	8	5049
13494	316.3	18	5085
13495	1990.1	52	4781
13496	605.2	35	4784
13497	321.1	20	5056
13499	1147.0	45	4791
